person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,dti_ratio,interest_burden,Cluster,Default_Probability,Risk_Level,Home Ownership,Loan Purpose,Loan Grade,Default History,Actual Default Status,Cluster_Name,Income Group,Age Group
23,29000,4.0,10000,18.62,0.34,3,0.3448275862068966,186200.0,0,0.9875542,High Risk,OWN,HOMEIMPROVEMENT,F,N,Default,Low Risk,Middle Income,20-25
26,50000,10.0,6000,10.99,0.12,3,0.12,65940.0,1,0.10113298,Low Risk,MORTGAGE,HOMEIMPROVEMENT,B,N,No Default,Medium Risk,Upper Middle Income,20-25
30,34046,2.0,12000,14.96,0.35,6,0.3524643129883099,179520.0,0,0.9992918,High Risk,RENT,MEDICAL,D,Y,Default,Low Risk,Middle Income,20-25
30,58239,3.0,10500,6.62,0.18,5,0.1802915572039355,69510.0,2,0.0018565862,Low Risk,MORTGAGE,VENTURE,A,N,No Default,High Risk,Low Income,20-25
28,44447,8.0,6000,12.72,0.13,7,0.1349922379463181,76320.0,1,0.39570898,Medium Risk,MORTGAGE,EDUCATION,C,Y,No Default,Medium Risk,Upper Middle Income,20-25
25,108000,8.0,15000,6.62,0.14,2,0.1388888888888889,99300.0,2,0.001898863,Low Risk,MORTGAGE,VENTURE,A,N,No Default,High Risk,High Income,20-25
25,85000,3.0,20000,10.25,0.24,3,0.2352941176470588,205000.0,0,0.034056712,Low Risk,RENT,DEBTCONSOLIDATION,B,N,No Default,Low Risk,High Income,20-25
32,86000,4.0,10800,12.42,0.13,7,0.1255813953488372,134136.0,1,0.06109734,Low Risk,MORTGAGE,MEDICAL,B,N,No Default,Medium Risk,High Income,25-30
25,55000,9.0,13000,7.51,0.24,4,0.2363636363636363,97630.0,2,0.089621775,Low Risk,RENT,HOMEIMPROVEMENT,A,N,No Default,High Risk,Upper Middle Income,20-25
32,65000,4.0,6000,7.49,0.09,5,0.0923076923076923,44940.0,2,0.022381635,Low Risk,RENT,MEDICAL,A,N,No Default,High Risk,Low Income,25-30
38,100280,1.0,17850,11.99,0.18,17,0.1780015955325089,214021.5,0,0.0036342496,Low Risk,MORTGAGE,VENTURE,B,N,No Default,Low Risk,High Income,25-30
27,39480,2.0,7200,13.79,0.18,8,0.182370820668693,99288.0,1,0.33363378,Medium Risk,MORTGAGE,EDUCATION,C,N,No Default,Medium Risk,Upper Middle Income,20-25
25,38599,3.0,12000,10.38,0.31,4,0.3108888831316873,124560.0,0,0.99165404,High Risk,RENT,MEDICAL,B,N,Default,Low Risk,Upper Middle Income,20-25
25,33204,2.862681912698145,2745,16.383117463572177,0.07862681912698145,4,0.08262815812731351,44840.64615384135,1,0.9987463,High Risk,RENT,MEDICAL,D,N,Default,Medium Risk,Middle Income,20-25
22,60000,1.0,7500,11.66,0.13,4,0.125,87450.0,1,0.0372168,Low Risk,MORTGAGE,PERSONAL,C,N,No Default,Medium Risk,Low Income,20-25
29,38000,5.0,8000,8.59,0.21,6,0.2105263157894736,68720.0,2,0.1472741,Low Risk,MORTGAGE,EDUCATION,A,N,No Default,High Risk,Middle Income,20-25
31,57000,10.0,8000,9.88,0.14,9,0.1403508771929824,79040.0,2,0.10813695,Low Risk,MORTGAGE,EDUCATION,B,N,No Default,High Risk,Low Income,25-30
23,38000,5.0,5400,7.9,0.14,4,0.1421052631578947,42660.0,2,0.11110273,Low Risk,MORTGAGE,MEDICAL,A,N,No Default,High Risk,Middle Income,20-25
23,44000,7.0,8500,7.14,0.19,3,0.1931818181818181,60690.0,2,0.15362088,Low Risk,MORTGAGE,PERSONAL,A,N,Default,High Risk,Upper Middle Income,20-25
25,71060,7.353409224232309,20000,13.145863631030707,0.2829318155153538,3,0.28156466664306484,262917.27262061415,0,0.98863345,High Risk,OTHER,EDUCATION,C,N,Default,Low Risk,Low Income,20-25
