person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,dti_ratio,interest_burden,age_group,income_group
22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,0.5932203389830508,560700.0,20-30,High
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.10416666666666667,11140.0,20-30,Low
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.5729166666666666,70785.0,20-30,Low
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.5343511450381679,533050.0,20-30,High
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.6433823529411765,499450.0,20-30,Medium
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.25252525252525254,17850.0,20-30,Low
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.45395590142671854,434700.0,20-30,High
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.44328486752115104,388850.0,20-30,High
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.42168674698795183,311500.0,20-30,Very High
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.16,23584.0,20-30,Low
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.4117647058823529,362950.0,20-30,Very High
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.45,38835.0,20-30,Low
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.3684210526315789,276500.0,20-30,Very High
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.323594674556213,643650.0,20-30,Very High
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.30434782608695654,276500.0,20-30,Very High
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.06,319500.0,20-30,Very High
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.2916666666666667,276500.0,20-30,Very High
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.3799763329026935,708750.0,20-30,Very High
23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.30973451327433627,638750.0,20-30,Very High
24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.16203703703703703,19232.5,20-30,Low
25,162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.2153846153846154,262150.0,20-30,Very High
25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.25401459854014596,583596.0,20-30,Very High
22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.5230769230769231,597720.0,20-30,High
24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.1366120218579235,10935.0,20-30,Low
22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.424375,493633.0,20-30,Very High
24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.4871136303250376,418440.0,20-30,High
21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.4159090909090909,81160.5,20-30,Low
23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.12727272727272726,13048.0,20-30,Low
24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.5,324675.0,20-30,High
21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.3512160856967249,51360.0,20-30,Low
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.1736111111111111,22240.0,20-30,Low
